代码,名称,最新,涨跌幅,成交量(手),成交金额,换手率,正股名称,正股价格,正股涨跌幅,转股价格,转股价值,转股溢价率,纯债价值,纯债YTM,平价底价溢价率,权证价格,有条件赎回价,到期赎回价,有条件回售价,剩余期限,到期日期,债券余额(亿元),主体评级,债券评级,类型,双低
123073.SZ,同和转债,116.72,-0.0015,5242000,6122534,0.0146035669254003,同和药业,16.27,0.0006,14.82,109.7841,0.0632,78.1836,0.9153,0.4049,38.574,INF,116,INF,5.3315,20261026,358953400,A+,A+,偏股型,123.04
123074.SZ,隆利转债,112.443,-0.0197,67482600,76506389,0.208002485577088,隆利科技,17.45,-0.0743,18.33,95.1991,0.1811,87.9345,1.8852,0.0839,24.614,INF,118,INF,5.3397,20261029,324431700,AA-,AA-,平衡型,130.553
123075.SZ,贝斯转债,110.579,-0.0044,4992400,5529330,0.00832099950664693,贝斯特,19.77,-0.0174,23.74,83.2772,0.3278,81.8157,0.8332,0.0184,28.807,INF,110,INF,5.3507,20261102,599976000,AA-,AA-,平衡型,143.359
123076.SZ,强力转债,101.349,0.0046,12290100,12471686,0.0144601507255489,强力新材,13.06,-0.0076,18.94,68.9546,0.4698,83.667,2.9975,-0.1754,17.728,INF,113,INF,5.3973,20261119,849928900,AA-,AA-,平衡型,148.329
123077.SZ,汉得转债,103.18,0.0026,7864700,8089021,0.00839324084088007,汉得信息,7.38,-0.0107,9.69,76.161,0.3548,98.8774,3.7572,-0.2294,4.352,INF,120,INF,5.4082,20261123,937027800,AA,AA,偏债型,138.66
123078.SZ,飞凯转债,126.647,0.0172,715912500,928072739,0.872973320333058,飞凯材料,19.66,0.0413,15.56,126.3496,0.0024,90.7323,-1.7631,0.3932,35.96,INF,110,100.078,5.4192,20261127,820085200,AA,AA,偏股型,126.887
123079.SZ,运达转债,130.6,0.0227,46682600,61295345,0.0809430343971398,运达股份,19.02,0.0253,15.12,125.7937,0.0382,90.5927,-2.3379,0.3893,40.053,INF,110,INF,5.4301,20261201,576734000,AA,AA,偏股型,134.42
123080.SZ,海波转债,109.55,0.0052,10165100,11173746,0.0415404086326372,海波重科,11.58,0.0176,11.58,100,0.0955,80.0315,2.7441,0.2501,29.555,INF,120,INF,5.4329,20261202,244703900,A+,A+,偏股型,119.1
123081.SZ,精研转债,104.1,-0.0038,6623500,6897612,0.0116213008698386,精研科技,38.59,-0.0041,53.4,72.2659,0.4405,85.4707,2.9131,-0.154,18.676,INF,115,INF,5.4356,20261203,569944800,AA-,AA-,平衡型,148.15
123082.SZ,北陆转债,110.997,0.0009,22425300,24861249,0.044866060844567,北陆药业,9.11,0.0089,8.8,103.5227,0.0722,76.8727,1.7435,0.3473,34.158,INF,115,INF,5.4466,20261207,499827700,A+,A+,偏股型,118.217
123083.SZ,朗新转债,126,0.0056,9642900,12052470,0.0120545215550407,朗新科技,17.08,-0.0018,15.45,110.5502,0.1398,90.4308,-1.6734,0.223,35.61,INF,110,INF,5.4521,20261209,799940500,AA,AA,偏股型,139.98
123084.SZ,高澜转债,108.71,-0.0017,5237100,5690066,0.0187042625761174,高澜股份,8.46,-0.0265,9,94,0.1565,76.9686,2.1718,0.2218,31.775,INF,115,INF,5.4548,20261210,279995000,A+,A+,偏股型,124.36
123085.SZ,万顺转2,112.5,0.0211,91128400,102792735,0.101292584092217,万顺新材,6.12,0.0286,6.2,98.7097,0.1397,79.6424,0.1324,0.24,32.897,INF,108,INF,5.4575,20240720,899655200,AA-,AA-,偏股型,126.47
