代码,名称,最新,涨跌幅,成交量(手),成交金额,换手率,正股名称,正股价格,正股涨跌幅,转股价格,转股价值,转股溢价率,纯债价值,纯债YTM,平价底价溢价率,权证价格,有条件赎回价,到期赎回价,有条件回售价,剩余期限,到期日期,债券余额(亿元),主体评级,债券评级,类型,双低,pure_debt_prem,debt_rank,equity_rank,rank,自定义rank,,
127035.SZ,濮耐转债,107.113,0.0041,28082500,30046182,0.044832272,濮耐股份,4.27,0.0023,4.43,96.3883,0.1113,92.653,1.4293,0.0407,14.494,inf,108.8,inf,4.9123,20260526,626390300,AA,AA,平衡型,118.243,0.156066182,123,147,270,123,,
110053.SH,苏银转债,123.85,0.0002,73086000,90544927,0.003654421,江苏银行,7.24,0.0042,6.37,113.6578,0.0897,104.2926,-1.2611,0.0915,19.719,inf,111,inf,3.7123,20250314,19999338000,AAA,AAA,平衡型,132.82,0.187524331,149,121,270,149,,
120003.SZ,19华菱EB,139.78,0.0278,14758900,20254012,0.00737945,华菱钢铁,6.53,0.0398,4.47,146.085,-0.0432,101.4684,-5.8702,0.4419,38.467,inf,inf,inf,3.4137,0,2000000000,AAA,AAA,偏股型,135.46,0.377571737,269,3,272,269,,
128129.SZ,青农转债,108.456,0.0113,19103000,20693953,0.003820747,青农商行,4.38,0.021,4.47,97.9866,0.1068,93.0346,0.6695,0.0551,15.583,inf,108,inf,5.1616,20260825,4999807300,AAA,AAA,平衡型,119.136,0.165759836,132,142,274,132,,
113009.SH,广汽转债,111.43,0.0012,35774000,39988839,0.014034435,广汽集团,12.93,-0.0008,13.97,92.5555,0.2039,104.2942,-8.4296,-0.1125,7.138,inf,106,100.68,0.5726,20220122,2549016000,AAA,AAA,平衡型,131.82,0.068419912,62,213.5,275.5,62,,
110070.SH,凌钢转债,115.15,0.0161,47456000,54760467,0.218555679,凌钢股份,2.95,0.0351,2.75,107.2727,0.0734,95.3709,0.4123,0.1251,19.804,inf,112,inf,4.7945,20260413,217134600,AA,AA,平衡型,122.49,0.207391353,166,109.5,275.5,166,,
110057.SH,现代转债,112.66,0.0101,8631000,9687765,0.005341983,国药现代,9.89,0.0071,9.79,101.0215,0.1152,96.9017,-0.571,0.0442,15.912,inf,106,inf,3.7616,20250401,1615692000,AAA,AAA,平衡型,124.18,0.162621502,127,149,276,127,,
123002.SZ,国祯转债,108.882,-0.0028,1025000,1115970,0.004064833,节能国祯,7.84,-0.0138,8.48,92.4528,0.1777,99.5479,-0.0317,-0.0712,9.344,inf,106,inf,2.411,20231124,252162900,AA,AA,平衡型,126.652,0.093764911,78,200,278,78,,
128050.SZ,钧达转债,132.291,0.0075,23927200,31537199,0.169492342,钧达股份,19.58,0.0093,14.8,132.2973,0,99.3461,-2.1945,0.333,33.045,inf,118,inf,3.4548,20241210,141169800,AA-,AA-,偏股型,132.291,0.331617446,251,27.5,278.5,251,,
127028.SZ,英特转债,108.648,0.0031,9926100,10758913,0.0165435,英特集团,13.3,0.0076,13.4,99.2537,0.0946,91.1504,0.7422,0.0893,17.53,inf,108,inf,5.526,20270105,600000000,AA+,AA+,平衡型,118.108,0.191964051,153,126,279,153,,
127033.SZ,中装转2,105.317,0.0181,102334300,107474148,0.088219224,中装建设,5.93,0.0172,6.28,94.4268,0.1153,90.3195,1.875,0.0457,15.016,inf,112,inf,5.8027,20270416,1160000000,AA,AA,平衡型,116.847,0.166049413,133,150,283,133,,
128051.SZ,光华转债,122.28,-0.0047,19151000,23607386,0.0859375,光华科技,15.52,-0.0127,12.72,122.0126,0.0022,92.9188,-1.8406,0.3144,29.454,inf,110,inf,3.4658,20241214,222848000,AA-,AA-,偏股型,122.5,0.315987723,243,41,284,243,,
113536.SH,三星转债,115.51,-0.008,2063000,2391939,0.013865272,三星新材,14.45,-0.0157,13.76,105.0145,0.0999,97.0936,-0.2722,0.0828,18.523,inf,110,inf,3.926,20250531,148789000,A+,AA,平衡型,125.5,0.189676766,150,134,284,150,,
