trade_date,buysell,sec_id,shares,price,value,cash
2021-02-19,1,110070.XSHG,79,101.89,80493.1,354078.60779999994
2021-02-19,1,113565.XSHG,79,101.89,80493.1,434531.46124999993
2021-02-19,0,110051.XSHG,75,103.31,77482.5,357048.96124999993
2021-02-19,0,113027.XSHG,75,98.93,74197.50000000001,282851.46124999993
2021-02-19,0,128040.XSHE,75,103.78,77835.0,205016.46124999993
2021-02-26,1,128064.XSHE,75,107.846,80884.5,285860.519
2021-02-26,1,110051.XSHG,75,107.846,80884.5,366704.57675
2021-02-26,1,113027.XSHG,75,107.846,80884.5,447548.63450000004
2021-02-26,0,123007.XSHE,77,103.167,79438.59,368110.0445000001
2021-02-26,0,128066.XSHE,77,103.75,79887.5,288222.5445000001
2021-02-26,0,128105.XSHE,77,98.0,75460.0,212762.54450000008
2021-03-05,1,128066.XSHE,77,104.71,80626.7,293348.9311500001
2021-03-05,0,128064.XSHE,74,109.18,80793.20000000001,212555.73115000007
2021-03-12,1,113536.XSHG,74,103.95,76923.0,289440.2696500001
2021-03-12,1,128039.XSHE,74,103.95,76923.0,366324.8081500001
2021-03-12,1,123049.XSHE,74,108.8,80512.0,446796.5521500001
2021-03-12,0,110070.XSHG,75,111.888,83916.0,362880.5521500001
2021-03-12,0,113505.XSHG,75,107.0,80250.0,282630.5521500001
2021-03-12,0,128034.XSHE,75,99.8,74850.0,207780.55215000012
2021-03-19,1,123007.XSHE,75,110.85,83137.5,290876.48340000014
2021-03-19,1,128064.XSHE,75,107.04,80280.00000000001,371116.3434000001
2021-03-19,1,128034.XSHE,75,98.19,73642.5,444722.02215000015
2021-03-19,0,110034.XSHG,74,110.847,82026.78,362695.2421500002
2021-03-19,0,128039.XSHE,74,113.331,83864.94,278830.3021500002
2021-03-19,0,128114.XSHE,74,101.21,74895.4,203934.90215000018
2021-03-26,1,128093.XSHE,74,116.56,86254.40000000001,290146.1749500002
2021-03-26,1,110070.XSHG,74,106.35,78699.0,368805.8254500002
2021-03-26,1,113505.XSHG,74,106.35,78699.0,447465.47595000017
2021-03-26,0,110068.XSHG,74,107.455,79516.7,367948.77595000016
2021-03-26,0,113536.XSHG,74,98.9,73186.0,294762.77595000016
2021-03-26,0,128053.XSHE,74,111.862,82777.88,211984.89595000015
2021-04-02,1,128105.XSHE,74,103.55,76627.0,288573.58245000016
2021-04-02,1,110034.XSHG,74,103.55,76627.0,365162.2689500002
2021-04-02,1,110068.XSHG,74,100.965,74714.1,439839.01190000016
2021-04-02,1,128053.XSHE,74,108.99,80652.59999999999,520451.2856000002
2021-04-02,0,110070.XSHG,75,100.15,75112.5,445338.7856000002
2021-04-02,0,123049.XSHE,75,107.15,80362.5,364976.2856000002
2021-04-02,0,128034.XSHE,75,112.89,84667.5,280308.7856000002
2021-04-02,0,128093.XSHE,75,109.52,82140.0,198168.78560000018
2021-04-09,1,110070.XSHG,75,107.347,80510.25,278638.78047500015
2021-04-09,1,128034.XSHE,75,108.65,81487.5,360085.5367250001
2021-04-09,0,110057.XSHG,74,110.899,82065.26,278020.2767250001
2021-04-09,0,128064.XSHE,74,108.31,80149.40000000001,197870.8767250001
2021-04-16,1,128114.XSHE,74,107.48,79535.20000000001,277366.3091250001
2021-04-16,0,113568.XSHG,75,113.92,85440.0,191926.3091250001
2021-04-23,1,128039.XSHE,75,110.324,82743.0,274627.9376250001
2021-04-23,0,128032.XSHE,73,117.83,86015.9,188612.03762500008
2021-04-30,1,123049.XSHE,73,109.5,79935.0,268507.0701250001
