,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
33,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128018.XSHE,128023.XSHE,128026.XSHE,128032.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,2019-08-30
34,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128032.XSHE,128035.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,2019-09-06
35,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,123029.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128032.XSHE,128035.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,2019-09-12
36,110056.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,123029.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128032.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,2019-09-20
37,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,123029.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128018.XSHE,128023.XSHE,128026.XSHE,128032.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,2019-09-27
38,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,123029.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128032.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128069.XSHE,2019-09-30
39,110056.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,123029.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128032.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,2019-10-11
40,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,123029.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128032.XSHE,128037.XSHE,128042.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,2019-10-18
41,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,123029.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128042.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128069.XSHE,2019-10-25
42,113502.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,123029.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128032.XSHE,128042.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128069.XSHE,2019-11-01
43,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,123025.XSHE,123029.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128042.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,2019-11-08
44,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,123028.XSHE,123029.XSHE,127003.XSHE,127004.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128042.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,2019-11-15
45,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123028.XSHE,123029.XSHE,127003.XSHE,127004.XSHE,128013.XSHE,128014.XSHE,128018.XSHE,128023.XSHE,128026.XSHE,128032.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,2019-11-22
46,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113537.XSHG,123028.XSHE,123029.XSHE,123033.XSHE,127003.XSHE,127004.XSHE,128013.XSHE,128014.XSHE,128018.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128042.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,2019-11-29
47,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113537.XSHG,123028.XSHE,123029.XSHE,123033.XSHE,127003.XSHE,127004.XSHE,128013.XSHE,128014.XSHE,128018.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128069.XSHE,2019-12-06
48,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113537.XSHG,123028.XSHE,123029.XSHE,123033.XSHE,127003.XSHE,127004.XSHE,128013.XSHE,128014.XSHE,128018.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128069.XSHE,2019-12-13
49,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113535.XSHG,113537.XSHG,123029.XSHE,123033.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128042.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,2019-12-20
