secID,tickerBond,tickerEqu,tradeDate,totalSize,remainSize,closePriceBond,convPrice,closePriceEqu,exerPar,chgPct,chgPct7,bondPremRatio,debtPuredebtRatio,puredebtPremRatio,evaluatePrice,premRatio,optionPrice,duration,volatiliry,strikePrice,accrualEndDate
128023.XSHE,128023,002284,2018-06-29,10.0,9.998178,87.189,10.34,5.8,7.54,0.008851999999999999,0.032201,55.4369,85.98809,1.3966,87.41028042380283,0.9974684851400776,1.4221904238028311,4.432876712328767,0.35053025798067705,10.34,2022-12-03
110033.XSHG,110033,600755,2018-06-29,28.0,14.62561109,104.38,8.81,7.29,9.477,0.025042,0.006654,26.1437,95.497226,9.301604,97.59752369403296,1.0694943483118486,2.1002976940329634,2.5205479452054793,0.39103755850301647,8.81,2021-01-04
128010.XSHE,128010,002245,2018-06-29,5.1,5.095393,97.93799999999999,9.28,6.47,8.411,0.004492,0.020198,40.4736,93.884524,4.317512000000001,95.32196867264997,1.027444159659919,1.43744467264998,2.5671232876712327,0.38736848653446243,9.28,2021-01-21
110031.XSHG,110031,600271,2018-06-29,24.0,23.99481,102.4,42.38,25.27,32.851,0.000391,-0.006693000000000001,71.7337,97.288248,5.254233999999999,100.06398212843271,1.0233452419329965,2.775734128432723,1.9534246575342467,0.4041142882403442,42.38,2020-06-11
113014.XSHG,113014,601222,2018-06-29,30.0,29.999740000000003,90.4,8.8,4.98,6.474,0.015616,-0.004405,59.7429,84.446154,7.050464,85.9155757185283,1.0521957077510988,1.469421718528294,4.328767123287672,0.4252976364382948,8.8,2022-10-26
128037.XSHE,128037,002542,2018-06-29,6.0366,6.0366,86.71799999999999,8.05,5.34,,0.006931999999999999,0.010017,30.7265,84.22508499999999,2.959825,86.56772424411602,1.0017359328455973,2.342639244116029,4.7095890410958905,0.3927372259412138,8.05,2023-03-14
128018.XSHE,128018,002527,2018-06-29,8.825057000000001,8.82446,86.921,11.83,7.19,9.347000000000001,0.004507,0.005914,43.0146,84.325355,3.078132,85.91016663641139,1.0117661669528202,1.584811636411389,4.3561643835616435,0.339608838754235,11.83,2022-11-05
128012.XSHE,128012,002496,2018-06-29,8.45,8.449722,80.0,7.74,2.73,3.549,0.000275,-0.008674,126.8131,87.201475,-8.258433,87.37525054867507,0.915591079826816,0.17377554867507022,2.8109589041095893,0.4042257508373261,7.74,2021-04-20
128026.XSHE,128026,002772,2018-06-29,9.2,9.199425999999999,88.286,11.64,8.37,10.880999999999998,0.020647,0.047607,22.7776,84.069825,5.015087,86.71423592338303,1.018125790533468,2.64441092338304,4.457534246575342,0.3248445373405562,11.64,2022-12-12
113502.XSHG,113502,603822,2018-06-29,1.85,1.848397,88.37,45.27,28.95,37.635,0.007755,0.026126,38.1868,86.467869,2.1998130000000002,98.84780226922386,0.8940006552630648,12.379933269223873,4.367123287671233,0.6168168650093803,45.27,2022-11-09
