secID,tickerBond,secShortNameBond,tickerEqu,secShortNameEqu,tradeDate,totalSize,remainSize,closePriceBond,convPrice,closePriceEqu,exerPar,chgPct,chgPct7,bondPremRatio,debtPuredebtRatio,puredebtPremRatio,evaluatePrice,premRatio,optionPrice,duration,volatiliry,strikePrice,accrualEndDate
128012.XSHE,128012,辉丰转债,002496,*ST辉丰,2020-01-03,8.45,8.443291,99.666,7.71,2.97,3.861,0.001336,0.00409,158.7289,89.631865,11.19483,89.72883722636435,1.110746590291442,0.0969722263643431,1.295890410958904,0.5063065860128624,7.71,2021-04-20
127004.XSHE,127004,模塑转债,000700,模塑科技,2020-01-03,8.1366,8.136339,96.3,7.59,4.09,5.317,0.0026030000000000003,0.010673,78.7083,101.897999,-5.493729,102.56805357974818,0.9388888317464786,0.6700545797481753,2.410958904109589,0.43096458490228634,7.59,2022-06-01
113536.XSHG,113536,三星转债,603578,三星新材,2020-01-03,1.91565,1.915491,112.0,19.75,20.54,26.701999999999998,0.010101,0.022831,7.6923,93.267584,20.084595,103.07130009581144,1.0866264410741764,9.803716095811435,4.4082191780821915,0.31568009984793144,19.75,2024-05-30
123004.XSHE,123004,铁汉转债,300197,铁汉生态,2020-01-03,11.0,8.332025999999999,103.001,3.98,3.18,4.1339999999999995,0.007197,0.024682,28.9132,93.838302,9.764348,94.9103999172858,1.085244610598682,1.0720979172857992,2.956164383561644,0.42978823999732707,3.98,2022-12-17
128040.XSHE,128040,华通转债,002758,华通医药,2020-01-03,2.24,2.22352,110.199,11.37,10.81,14.052999999999999,0.003104,0.012858000000000001,15.9077,94.999569,15.999474,99.34220487113221,1.1092868347642508,4.342635871132213,3.4438356164383563,0.47727696931655944,11.37,2023-06-13
123033.XSHE,123033,金力转债,300748,金力永磁,2020-01-03,4.35,4.35,112.398,41.2,40.13,,0.010664,0.013517,15.3949,95.31421,17.923654,116.87971286874343,0.9616553398469038,21.565502868743422,4.83013698630137,0.7697683746166764,41.2,2024-10-31
110047.XSHG,110047,山鹰转债,600567,山鹰纸业,2020-01-03,23.0,22.995179999999998,122.53,3.34,3.72,4.836,-0.009218,0.032788,10.0134,99.560774,23.070558,101.12997924126402,1.2116090690346364,1.5692052412640236,3.882191780821918,0.2525462413103786,3.34,2023-11-20
128021.XSHE,128021,兄弟转债,002562,兄弟科技,2020-01-03,7.0,5.048336,114.506,5.25,4.93,6.409,0.004439,0.012512,21.9384,94.045538,21.755909,95.80052904213332,1.1952543597085978,1.7549910421333248,2.9013698630136986,0.4604675721481372,5.25,2022-11-27
110059.XSHG,110059,浦发转债,600000,浦发银行,2020-01-03,500.0,500.0,111.84,15.05,12.6,,0.007749,0.028319,33.5866,96.26899499999999,16.174476000000002,100.5336286514666,1.112463575623344,4.264633651466612,4.8191780821917805,0.20500336036270234,15.05,2024-10-27
110057.XSHG,110057,现代转债,600420,现代制药,2020-01-03,16.1594,16.15907,111.55,9.99,8.93,11.609000000000002,0.00044800000000000005,0.020492,24.791,92.732331,20.292458,95.6383433357568,1.1663731941527078,2.9060123357567993,4.243835616438356,0.2562311401059598,9.99,2024-03-31
